feature	score	direction	p_value	q_value	n_permutations	at_permutation_floor
ENOG4111F8X	0.8664045143087211	endpoint	0.0021599784002159	0.2388881142635114	100000	False
COG3401	0.8813102975454686	endpoint	0.0021599784002159	0.2388881142635114	100000	False
N_AQ.1227	0.8650343440463778	endpoint	0.0021699783002169	0.3207735569703127	100000	False
ENOG4111US1	0.8814089007498687	endpoint	0.0021799782002179	0.2388881142635114	100000	False
ENOG4111JN4	0.8759785172765796	endpoint	0.0021799782002179	0.2388881142635114	100000	False
K16698	0.886226755712409	endpoint	0.0021899781002189	0.2388881142635114	100000	False
ENOG410XV65	0.888329214770109	endpoint	0.0021899781002189	0.2388881142635114	100000	False
P_AQ.338	0.884089234546779	endpoint	0.0021999780002199	0.3207735569703127	100000	False
ENOG410ZYVS	0.8866532604896238	endpoint	0.0021999780002199	0.2388881142635114	100000	False
ENOG410ZA63	0.8807217577988408	endpoint	0.0022099779002209	0.2388881142635114	100000	False
ENOG4111M5N	0.8678945023489496	endpoint	0.0022299777002229	0.2388881142635114	100000	False
N_LP.841	0.8685990042593421	baseline	0.0022299777002229	0.3207735569703127	100000	False
ENOG41127W8	0.882202753008464	endpoint	0.0022299777002229	0.2388881142635114	100000	False
N_AQ.1321	0.855395794004947	baseline	0.0022599774002259	0.3207735569703127	100000	False
N_LP.544	0.8826505499137646	baseline	0.0022599774002259	0.3207735569703127	100000	False
PF12051	0.8660246231657384	endpoint	0.0022599774002259	0.2390752598498111	100000	False
COG4463	0.8515908561348972	endpoint	0.0022699773002269	0.2390752598498111	100000	False
P_LP.1855	0.8798143618993329	endpoint	0.0022899771002289	0.3207735569703127	100000	False
ENOG41125GB	0.8858244387377768	endpoint	0.0022899771002289	0.2390752598498111	100000	False
N_LP.1722	0.8801666946355567	endpoint	0.0023099769002309	0.3207735569703127	100000	False
ENOG410YFAW	0.89853832258722	endpoint	0.0023099769002309	0.2390752598498111	100000	False
PF18960	0.8844368457023103	endpoint	0.0023199768002319	0.2390752598498111	100000	False
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Roseburia.s_Unclassified.Roseburia	0.8811736431614404	endpoint	0.0023299767002329	0.2390752598498111	100000	False
COG1193	0.8811907811025026	endpoint	0.0023299767002329	0.2390752598498111	100000	False
ENOG41118QN	0.8963544185823569	endpoint	0.0023599764002359	0.239755591574519	100000	False
P_AQ.1388	0.884901868945921	endpoint	0.0023699763002369	0.3207735569703127	100000	False
ENOG411229U	0.8539023939188756	endpoint	0.0023799762002379	0.239755591574519	100000	False
ENOG4111WBG	0.8753678472365749	endpoint	0.0023799762002379	0.239755591574519	100000	False
N_AQ.1133	0.8510663344916096	endpoint	0.0023899761002389	0.3207735569703127	100000	False
P_LP.2513	0.8678226385200644	endpoint	0.0023899761002389	0.3207735569703127	100000	False
PF07696	0.8704130007629732	baseline	0.0024299757002429	0.239755591574519	100000	False
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Ruminococcus.s_Ruminococcus.bromii	0.8641557366080063	endpoint	0.0024399756002439	0.239755591574519	100000	False
ENOG4112192	0.8583885733977846	endpoint	0.0024399756002439	0.239755591574519	100000	False
P_LP.1895	0.8461343338367342	endpoint	0.0024499755002449	0.3207735569703127	100000	False
P_AQ.84	0.8538947134466616	endpoint	0.0024599754002459	0.3207735569703127	100000	False
K00121	0.888484195395358	baseline	0.0024999750002499	0.239755591574519	100000	False
K01941	0.8418551426926101	endpoint	0.0025099749002509	0.239755591574519	100000	False
ENOG410YQWC	0.8726055536353154	endpoint	0.0025199748002519	0.239755591574519	100000	False
P_AQ.734	0.8728636570736342	baseline	0.0025199748002519	0.32383502251934	100000	False
COG5495	0.872523333259824	endpoint	0.0025399746002539	0.239755591574519	100000	False
PF00006	0.8909269494526091	endpoint	0.0025399746002539	0.239755591574519	100000	False
PF09512	0.8838204305876671	endpoint	0.0025399746002539	0.239755591574519	100000	False
K03706	0.861877570781723	endpoint	0.0025499745002549	0.239755591574519	100000	False
COG4502	0.8799410155511181	endpoint	0.0025499745002549	0.239755591574519	100000	False
ENOG410ZY7A	0.8703832645120233	endpoint	0.0025599744002559	0.239755591574519	100000	False
P_LP.2629	0.8768716932292545	endpoint	0.0025599744002559	0.3242756143867133	100000	False
ENOG41124FW	0.8618398392703436	endpoint	0.0025699743002569	0.239755591574519	100000	False
COG2142	0.8887003674367866	baseline	0.0025799742002579	0.239755591574519	100000	False
ENOG4111TVG	0.8727596186297836	endpoint	0.0025899741002589	0.239755591574519	100000	False
ENOG4111HYX	0.8538702736663198	endpoint	0.0026399736002639	0.2430630828826847	100000	False
K02168	0.8874029377121339	baseline	0.0026599734002659	0.2435877791759716	100000	False
P_LP.1198	0.8600366575802908	endpoint	0.0027199728002719	0.3374352367587435	100000	False
N_LP.1462	0.8330854147144198	endpoint	0.0027399726002739	0.3374352367587435	100000	False
K07781	0.8868278605967196	baseline	0.0027399726002739	0.2467126359664238	100000	False
ENOG410Y6PP	0.8718809616436378	endpoint	0.0027399726002739	0.2467126359664238	100000	False
ENOG4111G27	0.8510192219261763	baseline	0.0027499725002749	0.2467126359664238	100000	False
K07751	0.8827075871505067	baseline	0.0027599724002759	0.2467126359664238	100000	False
COG0058	0.8832362371952472	endpoint	0.0027699723002769	0.2467126359664238	100000	False
ENOG410Y83C	0.8632702963194274	endpoint	0.0027999720002799	0.2467126359664238	100000	False
K10795	0.8715296109057036	endpoint	0.0028099719002809	0.2467126359664238	100000	False
ENOG410XQWY	0.8576112026408934	endpoint	0.0028099719002809	0.2467126359664238	100000	False
P_LP.1350	0.860883868888146	baseline	0.0028399716002839	0.3428539047942854	100000	False
K13063	0.8491881902640199	baseline	0.0028499715002849	0.2485402696993438	100000	False
K21973	0.8767749789798767	baseline	0.0028599714002859	0.2485402696993438	100000	False
