Supplementary Table 1. Differential abundance analysis results across 5-month-old and 12-month-old groups for microbiome features.						
Feature Type/Library	Feature	Feature function/pathway/details	Fold Change	Group with higher relative abundace	Paired Wilcoxon rank sum test raw p-value	FDR 
COG3976	Uncharacterized protein conserved in bacteria	Function unknown	3.015490983	12-month-old	2.06417E-07	3.58064E-05
ENOG410YHHT	Helix-turn-helix	Function unknown	3.073142626	12-month-old	2.18884E-07	3.58064E-05
ENOG41128BI		Function unknown	3.237831303	12-month-old	2.108E-07	3.58064E-05
ENOG410YXTV		Function unknown	3.341037883	12-month-old	2.11403E-07	3.58064E-05
ENOG410YRHR		Function unknown	3.354700223	12-month-old	2.20716E-07	3.58064E-05
ENOG4111PHP	Methyltransferase	Function unknown	3.483713684	12-month-old	2.17398E-07	3.58064E-05
ENOG410YDMQ		Function unknown	3.554806682	12-month-old	2.07741E-07	3.58064E-05
ENOG4111S9B		Function unknown	3.567125999	12-month-old	2.07741E-07	3.58064E-05
ENOG4111RES		Function unknown	3.700994427	12-month-old	2.18884E-07	3.58064E-05
ENOG4111XTI		Function unknown	3.75929261	12-month-old	1.90371E-07	3.58064E-05
ENOG4111GBW	(ABC) transporter	Amino acid transport and metabolism	4.566573101	12-month-old	1.98777E-07	3.58064E-05
ENOG4112C9F		Function unknown	4.243791982	12-month-old	2.28611E-07	3.67374E-05
COG1961	"Site-specific recombinases, DNA invertase Pin homologs"	"DNA replication, recombination and repair"	0.991149214	12-month-old	2.67239E-07	3.68948E-05
ENOG410ZZ25	"sigma-70, region 4"	Function unknown	1.332041224	12-month-old	2.41077E-07	3.68948E-05
PF19478	[]		1.383102352	12-month-old	2.53833E-07	3.68948E-05
ENOG410XT0B	Helix-turn-helix	Function unknown	1.421662125	12-month-old	2.53833E-07	3.68948E-05
ENOG410ZVMV	AhpC Tsa family	"Posttranslational modification, protein turnover, chaperones"	1.835005371	12-month-old	2.67239E-07	3.68948E-05
ENOG410ZVMW	ATP-dependent OLD family endonuclease	Function unknown	2.036037637	12-month-old	2.53833E-07	3.68948E-05
ENOG410XXX4	D binding domaincontaining protein	Function unknown	2.755421187	12-month-old	2.41077E-07	3.68948E-05
PF19554	[]		3.394416691	12-month-old	2.6297E-07	3.68948E-05
ENOG410Z261		Function unknown	3.41007268	12-month-old	2.70744E-07	3.68948E-05
ENOG4111MSE		Function unknown	3.4308935	12-month-old	2.41077E-07	3.68948E-05
ENOG4111SRH		Function unknown	3.517161714	12-month-old	2.69441E-07	3.68948E-05
ENOG410XU52	"domain protein, FtsQ-type"	Function unknown	3.653879997	12-month-old	2.3699E-07	3.68948E-05
ENOG410YH8W		Function unknown	3.774049636	12-month-old	2.4327E-07	3.68948E-05
ENOG410XQSV	Protein of unknown function 	Function unknown	3.836954277	12-month-old	2.55105E-07	3.68948E-05
k_Bacteria.p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales.f_Erysipelotrichaceae.g_Dielma.s_Dielma.fastidiosa	NA	NA	3.916521316	12-month-old	2.64511E-07	3.68948E-05
ENOG410ZG9V		Function unknown	4.01797082	12-month-old	2.43483E-07	3.68948E-05
ENOG410YQ0S		Function unknown	4.195156078	12-month-old	2.51781E-07	3.68948E-05
ENOG410YNY1		Function unknown	4.260520218	12-month-old	2.57187E-07	3.68948E-05
ENOG4111UR5		Function unknown	4.600739532	12-month-old	2.58398E-07	3.68948E-05
ENOG410XQKS		Function unknown	3.984537665	12-month-old	2.78213E-07	3.76118E-05
ENOG410XXBN		Function unknown	3.958971563	12-month-old	2.82256E-07	3.78578E-05
ENOG410XVFQ	Signal peptidase I	"Intracellular trafficking, secretion, and vesicular transport"	3.286666685	12-month-old	3.00941E-07	3.91315E-05
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Roseburia.s_Roseburia.intestinalis	NA	NA	3.312826384	12-month-old	2.96134E-07	3.91315E-05
K07469	aldehyde oxidoreductase [EC:1.2.99.7]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	3.814737506	12-month-old	3.00941E-07	3.91315E-05
ENOG410YFAW		Function unknown	4.298511822	12-month-old	3.00482E-07	3.91315E-05
ENOG410XPNA	ENOG410XPNA (name not available)	ENOG410XPNA (path not available)	1.889600746	12-month-old	3.1169E-07	3.93284E-05
ENOG411034D		Function unknown	2.632007687	12-month-old	3.1169E-07	3.93284E-05
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Dorea.s_Dorea.longicatena	NA	NA	2.679026886	12-month-old	3.1169E-07	3.93284E-05
ENOG4111FXP	transcriptional regulator	Transcription	3.598094341	12-month-old	3.11301E-07	3.93284E-05
ENOG4111V0R		Function unknown	3.250108531	12-month-old	3.17234E-07	3.94481E-05
COG3543	Uncharacterized conserved protein	Function unknown	3.728229714	12-month-old	3.17271E-07	3.94481E-05
PF05670	[Domain of unknown function (DUF814)]		1.537286007	12-month-old	3.28034E-07	4.01995E-05
