Supplementary Table 1. Differential abundance analysis results across 5-month-old and 12-month-old groups for microbiome features.						
Feature Type/Library	Feature	Feature function/pathway/details	Fold Change	Group with higher relative abundace	Paired Wilcoxon rank sum test raw p-value	FDR 
ENOG410YQI4		Function unknown	0.47392961	12-month-old	0.196137151	0.286658107
ENOG4112C7Q	nhl repeat containing protein	Function unknown	0.713001912	12-month-old	0.196519348	0.287167416
ENOG4110088	Bacteriophage Lambda NinG protein	Function unknown	0.532475611	12-month-old	0.198274304	0.289657333
ENOG410Z2AQ		Function unknown	0.43392175	12-month-old	0.198431528	0.289837305
ENOG4111SJZ	acyltransferase 3	Function unknown	0.77071689	12-month-old	0.198431528	0.289837305
COG4938	Uncharacterized conserved protein	Function unknown	0.553714255	12-month-old	0.19867439	0.290092539
ENOG410YVWG		Function unknown	0.708628872	12-month-old	0.19867439	0.290092539
K00806	undecaprenyl diphosphate synthase [EC:2.5.1.31]	Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis | Brite Hierarchies; Protein families: metabolism; Prenyltransferases	0.065797735	12-month-old	0.199181824	0.290186725
COG1197	Transcription-repair coupling factor (superfamily II helicase)	"Transcription|DNA replication, recombination and repair"	0.07925539	12-month-old	0.199181824	0.290186725
K02935	large subunit ribosomal protein L7/L12	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	0.091725686	12-month-old	0.199181824	0.290186725
K00651	homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]	Metabolism; Energy metabolism; Sulfur metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism	0.131426205	12-month-old	0.199181824	0.290186725
PF13481	[AAA domain]		0.149017314	12-month-old	0.199181824	0.290186725
COG1040	Predicted amidophosphoribosyltransferases	General function prediction only	0.149245472	12-month-old	0.199181824	0.290186725
COG0790	"FOG: TPR repeat, SEL1 subfamily"	General function prediction only	0.160863766	12-month-old	0.199181824	0.290186725
PF00550	[Phosphopantetheine attachment site]		0.163222491	12-month-old	0.199181824	0.290186725
PF02592	[Putative vitamin uptake transporter]		0.190735572	12-month-old	0.199181824	0.290186725
K06920	7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis	0.35021124	12-month-old	0.199181824	0.290186725
PF00668	[Condensation domain]		0.36484469	12-month-old	0.199181824	0.290186725
PF02550	[Acetyl-CoA hydrolase/transferase N-terminal domain]		0.402250368	12-month-old	0.199181824	0.290186725
COG1157	Flagellar biosynthesis/type III secretory pathway ATPase	Cell motility and secretion	0.433916256	12-month-old	0.199181824	0.290186725
PF07676	[WD40-like Beta Propeller Repeat]		0.485359446	12-month-old	0.199181824	0.290186725
ENOG410XSRM	Iron compound ABC transporter iron compound-binding protein	Inorganic ion transport and metabolism	0.521536919	12-month-old	0.199181824	0.290186725
K07485	transposase	Not Included in Pathway or Brite; Unclassified: genetic information processing; Replication and repair	0.617012571	12-month-old	0.199181824	0.290186725
COG1262	Uncharacterized conserved protein	Function unknown	0.746702906	12-month-old	0.199181824	0.290186725
PF05704	[Capsular polysaccharide synthesis protein]		0.961157438	12-month-old	0.199181824	0.290186725
ENOG410XP3M	Major Facilitator superfamily	Carbohydrate transport and metabolism	1.011099966	12-month-old	0.199181824	0.290186725
ENOG410YXW2		Function unknown	0.879971261	12-month-old	0.199266584	0.290285384
K07778	"two-component system, NarL family, sensor histidine kinase DesK [EC:2.7.13.3]"	Environmental Information Processing; Signal transduction; Two-component system | Brite Hierarchies; Protein families: metabolism; Protein kinases | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system	0.516182122	12-month-old	0.199421663	0.290461617
ENOG410ZP8N	Capsular polysaccharide synthesis protein	Cell wall/membrane/envelope biogenesis	0.997380583	12-month-old	0.199534989	0.29060183
ENOG4111KST	Glycosyl transferase	Function unknown	0.979122613	12-month-old	0.200400326	0.291812203
ENOG410ZK9X	Major Facilitator Superfamily	Carbohydrate transport and metabolism	0.467871	12-month-old	0.201279706	0.29293182
ENOG410Y30J	ABC transporter (permease)	Defense mechanisms	0.545089114	12-month-old	0.201289595	0.29293182
ENOG410Z2ND		Transcription	0.558677512	12-month-old	0.201279706	0.29293182
ENOG410ZV35		Function unknown	0.651987416	12-month-old	0.201279706	0.29293182
ENOG4111KIA		Function unknown	1.389537352	12-month-old	0.201623478	0.293392646
PF05352	[Phage Connector (GP10)]		0.938737099	12-month-old	0.201884737	0.293747724
K01803	triosephosphate isomerase (TIM) [EC:5.3.1.1]	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	0.052729713	12-month-old	0.202580929	0.294057397
PF00252	[Ribosomal protein L16p/L10e]		0.064952643	12-month-old	0.202580929	0.294057397
K15581	oligopeptide transport system permease protein	Environmental Information Processing; Membrane transport; ABC transporters | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Human Diseases; Drug resistance: Antimicrobial; beta-Lactam resistance | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.167495263	12-month-old	0.202580929	0.294057397
PF08666	[SAF domain]		0.211920667	12-month-old	0.202580929	0.294057397
K01643	citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]	Environmental Information Processing; Signal transduction; Two-component system	0.221137485	12-month-old	0.202580929	0.294057397
PF14527	[WhiA LAGLIDADG-like domain]		0.232623158	12-month-old	0.202580929	0.294057397
K16899	ATP-dependent helicase/nuclease subunit B [EC:3.1.-.- 3.6.4.12]	Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	0.279424416	12-month-old	0.202580929	0.294057397
PF00902	[Sec-independent protein translocase protein (TatC)]		0.283038005	12-month-old	0.202580929	0.294057397
COG0700	Uncharacterized membrane protein	Function unknown	0.34490842	12-month-old	0.202580929	0.294057397
COG5009	Membrane carboxypeptidase/penicillin-binding protein	"Cell envelope biogenesis, outer membrane"	0.359568994	12-month-old	0.202580929	0.294057397
K19802	L-Ala-D/L-Glu epimerase [EC:5.1.1.20]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	0.406744057	12-month-old	0.202580929	0.294057397
PF07905	[Purine catabolism regulatory protein-like family]		0.408309043	12-month-old	0.202580929	0.294057397
ENOG4111JV8	rna polymerase	Transcription	0.416535649	12-month-old	0.202225355	0.294057397
ENOG4111DDB	integral membrane protein TIGR02185	Function unknown	0.417214262	12-month-old	0.202580929	0.294057397
K16169	xanthine permease	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.499815839	12-month-old	0.202580929	0.294057397
PF00329	"[Respiratory-chain NADH dehydrogenase, 30 Kd subunit]"		0.519041476	12-month-old	0.202580929	0.294057397
ENOG410XSNZ	Domain of unknown function (DUF1735)	Function unknown	0.814469078	12-month-old	0.202225355	0.294057397
K07670	"two-component system, OmpR family, response regulator MtrA"	Environmental Information Processing; Signal transduction; Two-component system | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system	0.985467654	12-month-old	0.202580929	0.294057397
ENOG410XU9J	binding-protein-dependent transport systems inner membrane Component	Inorganic ion transport and metabolism	1.037617711	12-month-old	0.202225355	0.294057397
K00641	homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	Metabolism; Energy metabolism; Sulfur metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism	0.811915668	12-month-old	0.202928026	0.294460857
ENOG410XT9Q	tonB-dependent Receptor Plug	Inorganic ion transport and metabolism	0.897646054	12-month-old	0.204120658	0.296140984
ENOG410Y40Z		Function unknown	0.977784763	12-month-old	0.204304289	0.296356916
ENOG410Y4TW		Function unknown	0.842052962	12-month-old	0.204578102	0.296703566
ENOG410YKVS	"acetyltransferase, (GT) family"	Function unknown	0.32833694	12-month-old	0.204893894	0.297136267
ENOG41123ZG	Membrane	Cell wall/membrane/envelope biogenesis	0.706093218	12-month-old	0.204930568	0.297164152
ENOG410Z8BV		Function unknown	0.651181644	12-month-old	0.205066627	0.297310829
PF16838	[Caudoviral major tail protein N-terminus]		0.944130929	12-month-old	0.205066627	0.297310829
K02899	large subunit ribosomal protein L27	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	0.083392705	12-month-old	0.206022103	0.29801724
COG0846	"NAD-dependent protein deacetylases, SIR2 family"	Transcription	0.128573744	12-month-old	0.206022103	0.29801724
PF01315	"[Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain]"		0.217250961	12-month-old	0.206022103	0.29801724
ENOG410ZMFH		Function unknown	0.233715113	12-month-old	0.20600584	0.29801724
PF02557	[D-alanyl-D-alanine carboxypeptidase]		0.264559827	12-month-old	0.206022103	0.29801724
K04767	acetoin utilization protein AcuB	Not Included in Pathway or Brite; Unclassified: metabolism; Carbohydrate metabolism	0.311989017	12-month-old	0.206022103	0.29801724
PF13440	[Polysaccharide biosynthesis protein]		0.338723971	12-month-old	0.206022103	0.29801724
COG1573	Uracil-DNA glycosylase	"DNA replication, recombination and repair"	0.369827855	12-month-old	0.206022103	0.29801724
ENOG4111GSI	Histidine kinase	Signal transduction mechanisms	0.420490835	12-month-old	0.206022103	0.29801724
PF12127	[SigmaW regulon antibacterial]		0.487673255	12-month-old	0.206022103	0.29801724
PF03390	[2-hydroxycarboxylate transporter family]		0.503600121	12-month-old	0.206022103	0.29801724
K01561	haloacetate dehalogenase [EC:3.8.1.3]	Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Chlorocyclohexane and chlorobenzene degradation	0.504865673	12-month-old	0.20600584	0.29801724
PF02388	[FemAB family]		0.535555138	12-month-old	0.206022103	0.29801724
COG4926	Phage-related protein	Function unknown	0.641697593	12-month-old	0.206022103	0.29801724
K03230	type III secretion protein V	Environmental Information Processing; Membrane transport; Bacterial secretion system | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	0.748208026	12-month-old	0.20600584	0.29801724
k_Bacteria.p_Actinobacteria.c_Coriobacteriia.o_Eggerthellales.f_Eggerthellaceae.g_Slackia.s_Unclassified.Slackia	NA	NA	0.752678921	12-month-old	0.20597843	0.29801724
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae.g_Alistipes.s_Alistipes.putredinis	NA	NA	0.795005254	12-month-old	0.205820387	0.29801724
ENOG4111RMG	transposase	Function unknown	0.938896529	12-month-old	0.206022103	0.29801724
ENOG410YGV4		Function unknown	0.569950965	12-month-old	0.206296796	0.298383257
ENOG410Z0IY		Function unknown	0.543704391	12-month-old	0.206603443	0.298776046
ENOG410YXP9	(LipO)protein	Function unknown	0.619001703	12-month-old	0.20663589	0.298797602
ENOG4111GQ5		Function unknown	0.583562916	12-month-old	0.206869433	0.299084529
k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Enterococcaceae.g_Enterococcus.s_Enterococcus.durans	NA	NA	0.750499501	12-month-old	0.206869433	0.299084529
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Enterocloster.s_Enterocloster.asparagiformis	NA	NA	0.577522798	12-month-old	0.207009054	0.299260989
ENOG4111WHU		Function unknown	0.577827255	12-month-old	0.207057483	0.299305597
PF00696	[Amino acid kinase family]		0.03526118	12-month-old	0.209505542	0.301973041
PF01336	[OB-fold nucleic acid binding domain]		0.081096537	12-month-old	0.209505542	0.301973041
COG3833	"ABC-type maltose transport systems, permease component"	Carbohydrate transport and metabolism	0.205968616	12-month-old	0.209505542	0.301973041
COG1683	Uncharacterized conserved protein	Function unknown	0.22601533	12-month-old	0.209505542	0.301973041
K07126	uncharacterized protein	Not Included in Pathway or Brite; Poorly characterized; Function unknown	0.226700949	12-month-old	0.209505542	0.301973041
PF18072	[]		0.310019687	12-month-old	0.209505542	0.301973041
PF00813	[FliP family]		0.356529587	12-month-old	0.209505542	0.301973041
PF03237	[Terminase-like family]		0.400415724	12-month-old	0.209505542	0.301973041
K03188	urease accessory protein	Not Included in Pathway or Brite; Unclassified: genetic information processing; Protein processing	0.47614227	12-month-old	0.209505542	0.301973041
PF00207	[Alpha-2-macroglobulin family]		0.49828657	12-month-old	0.209505542	0.301973041
K02230	cobaltochelatase CobN [EC:6.6.1.2]	Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism	0.554789935	12-month-old	0.209505542	0.301973041
K00140	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	"Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism"	0.609699547	12-month-old	0.209505542	0.301973041
ENOG410YNEA		Function unknown	0.696103745	12-month-old	0.209505542	0.301973041
COG1906	Uncharacterized conserved protein	Function unknown	0.743438859	12-month-old	0.209505542	0.301973041
ENOG410YP2K		Function unknown	0.394347065	12-month-old	0.209599052	0.302056706
ENOG4111X1V		Function unknown	0.512995256	12-month-old	0.209599052	0.302056706
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Clostridiaceae.g_Clostridium.s_Clostridium.botulinum	NA	NA	0.537550522	12-month-old	0.209643725	0.302095527
ENOG4111N1T		Function unknown	0.616014145	12-month-old	0.210075041	0.302589062
PF07669	[Eco57I restriction-modification methylase]		0.653870963	12-month-old	0.210075041	0.302589062
ENOG4112AER		Function unknown	0.318123785	12-month-old	0.210204092	0.302698157
ENOG4111VTK		Cell wall/membrane/envelope biogenesis	0.569156327	12-month-old	0.210204092	0.302698157
ENOG4111T8F		Function unknown	0.606718534	12-month-old	0.210510943	0.303114405
ENOG4111QMM	Protein of unknown function (DUF2589)   	Function unknown	1.040120313	12-month-old	0.211388118	0.30435172
ENOG410XTKS	"Efflux ABC transporter, permease protein"	Defense mechanisms	0.986629959	12-month-old	0.2116752	0.304739297
ENOG410ZPA9		Function unknown	0.522045771	12-month-old	0.212014357	0.305201771
PF01808	[AICARFT/IMPCHase bienzyme]		0.08601306	12-month-old	0.213031436	0.305993547
K03518	aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	0.275710792	12-month-old	0.213031436	0.305993547
K01625	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism	0.317108998	12-month-old	0.213031436	0.305993547
COG4145	Na+/panthothenate symporter	Coenzyme metabolism	0.338499845	12-month-old	0.213031436	0.305993547
K03412	"two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]"	Environmental Information Processing; Signal transduction; Two-component system | Cellular Processes; Cell motility; Bacterial chemotaxis | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system | Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial motility proteins	0.390957402	12-month-old	0.213031436	0.305993547
ENOG410XXTQ	peptidase M23 family	Function unknown	0.467512522	12-month-old	0.213031436	0.305993547
PF18013	[]		0.523177965	12-month-old	0.213031436	0.305993547
ENOG410XX6Q		Function unknown	0.600893533	12-month-old	0.212701905	0.305993547
PF02156	[Glycosyl hydrolase family 26]		0.678148136	12-month-old	0.213031436	0.305993547
ENOG410ZI89	Ragb susd domain-containing protein	Function unknown	0.867627369	12-month-old	0.213749937	0.306896192
K11031	thiol-activated cytolysin	Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial toxins	0.663697253	12-month-old	0.214372855	0.307738683
COG4842	Uncharacterized protein conserved in bacteria	Function unknown	0.785536236	12-month-old	0.215766972	0.309713879
PF14848	[DNA-binding domain]		0.498263427	12-month-old	0.215833764	0.309757549
ENOG41122MK	restriction endonuclease	Defense mechanisms	0.639947438	12-month-old	0.215820664	0.309757549
ENOG410Z217		Function unknown	0.474025405	12-month-old	0.215980386	0.309941861
COG0126	3-phosphoglycerate kinase	Carbohydrate transport and metabolism	0.069905379	12-month-old	0.21659997	0.310229873
PF00285	"[Citrate synthase, C-terminal domain]"		0.09726219	12-month-old	0.21659997	0.310229873
PF04983	"[RNA polymerase Rpb1, domain 3]"		0.109346799	12-month-old	0.21659997	0.310229873
COG0213	Thymidine phosphorylase	Nucleotide transport and metabolism	0.1231521	12-month-old	0.21659997	0.310229873
K01644	citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]	Environmental Information Processing; Signal transduction; Two-component system	0.170048553	12-month-old	0.21659997	0.310229873
K04087	membrane protease subunit HflC [EC:3.4.-.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	0.247194734	12-month-old	0.21659997	0.310229873
K07027	glycosyltransferase 2 family protein	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.271298786	12-month-old	0.21659997	0.310229873
K03558	membrane protein required for colicin V production	Not Included in Pathway or Brite; Poorly characterized; General function prediction only	0.327397368	12-month-old	0.21659997	0.310229873
K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism	0.336657551	12-month-old	0.21659997	0.310229873
K09153	small membrane protein	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Structural proteins	0.589555454	12-month-old	0.21659997	0.310229873
ENOG410Y44Z		Function unknown	0.697942328	12-month-old	0.216490649	0.310229873
COG1928	Dolichyl-phosphate-mannose--protein O-mannosyl transferase	"Posttranslational modification, protein turnover, chaperones"	0.960843753	12-month-old	0.21659997	0.310229873
ENOG410XPT8	Gliding motility-related protein	Function unknown	1.212998171	12-month-old	0.216991611	0.31076468
PF05183	[RNA dependent RNA polymerase]		0.768709102	12-month-old	0.21775398	0.311777867
ENOG410ZFFM		Function unknown	0.584849311	12-month-old	0.218021709	0.312108731
ENOG410YB8J	Putative cell wall binding repeat	Function unknown	0.769264488	12-month-old	0.218246084	0.31240368
PF14734	[Domain of unknown function (DUF4469) with IG-like fold]		0.609593209	12-month-old	0.218568638	0.312839105
K03086	RNA polymerase primary sigma factor	Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	0.0824292	12-month-old	0.220211323	0.31429239
PF13184	[NusA-like KH domain]		0.094094231	12-month-old	0.220211323	0.31429239
PF17657	[]		0.124196602	12-month-old	0.220211323	0.31429239
COG1001	Adenine deaminase	Nucleotide transport and metabolism	0.188895585	12-month-old	0.220211323	0.31429239
PF06130	[Phosphate propanoyltransferase]		0.214296192	12-month-old	0.220211323	0.31429239
PF04166	[Pyridoxal phosphate biosynthetic protein PdxA]		0.263707681	12-month-old	0.220211323	0.31429239
K00018	glycerate dehydrogenase [EC:1.1.1.29]	"Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"	0.297721531	12-month-old	0.220211323	0.31429239
PF12796	[Ankyrin repeats (3 copies)]		0.388584291	12-month-old	0.220211323	0.31429239
K00798	cob(I)alamin adenosyltransferase [EC:2.5.1.17]	Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism	0.39272568	12-month-old	0.220211323	0.31429239
ENOG4111NY9	4fe-4S ferredoxin iron-sulfur binding domain protein	Energy production and conversion	0.45935618	12-month-old	0.220211323	0.31429239
K07793	putative tricarboxylic transport membrane protein	Environmental Information Processing; Signal transduction; Two-component system | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.524656234	12-month-old	0.220211323	0.31429239
PF03744	[6-carboxyhexanoate--CoA ligase]		0.548230848	12-month-old	0.220211323	0.31429239
ENOG410ZGK6	CppA protein	Function unknown	0.575981007	12-month-old	0.220211323	0.31429239
K12373	hexosaminidase [EC:3.2.1.52]	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Metabolism; Glycan biosynthesis and metabolism; Various types of N-glycan biosynthesis | Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan degradation | Metabolism; Glycan biosynthesis and metabolism; Glycosphingolipid biosynthesis - globo and isoglobo series | Metabolism; Glycan biosynthesis and metabolism; Glycosphingolipid biosynthesis - ganglio series | Metabolism; Glycan biosynthesis and metabolism; Other glycan degradation | Cellular Processes; Transport and catabolism; Lysosome | Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts	0.614496426	12-month-old	0.220211323	0.31429239
PF06182	[ABC-2 family transporter protein]		0.64729817	12-month-old	0.220211323	0.31429239
ENOG410XS3S	hydrolase family 43	Carbohydrate transport and metabolism	0.81911821	12-month-old	0.220211323	0.31429239
K05566	multicomponent Na+:H+ antiporter subunit B	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.623911513	12-month-old	0.220327725	0.314432177
ENOG410YDAR		Function unknown	0.56985149	12-month-old	0.220439971	0.31453966
ENOG4111W1E	LytTR	Function unknown	0.634747942	12-month-old	0.221087362	0.315384149
ENOG410YQRP		Function unknown	0.302261103	12-month-old	0.221271816	0.315541575
ENOG410YKD8		Function unknown	0.932196053	12-month-old	0.221617135	0.316007557
ENOG410YFI1		Function unknown	0.387394564	12-month-old	0.222041367	0.316532985
PF16467	[Domain of unknown function (DUF5048)]		0.543750347	12-month-old	0.222041367	0.316532985
ENOG411007C	Protein of unknown function (DUF1703)	Function unknown	0.855666039	12-month-old	0.222062426	0.316536515
ENOG4111FVC		Function unknown	0.582499189	12-month-old	0.222805136	0.317461411
ENOG410ZVDK	oxidoreductase	Function unknown	0.655370674	12-month-old	0.222805136	0.317461411
ENOG4111SJQ		Function unknown	0.3931823	12-month-old	0.223120949	0.317849311
ENOG410XTJH	"Lantibiotic dehydratase, C terminus"	Function unknown	0.874921209	12-month-old	0.223151339	0.317849311
ENOG410XNV1	Polysaccharide biosynthesis protein	Cell wall/membrane/envelope biogenesis	0.903841858	12-month-old	0.223151339	0.317849311
K07102	N-acetylmuramate 1-kinase [EC:2.7.1.221]	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism	0.778267789	12-month-old	0.223387589	0.318159213
COG0826	Collagenase and related proteases	"Posttranslational modification, protein turnover, chaperones"	0.042380065	12-month-old	0.223865668	0.318175035
PF00162	[Phosphoglycerate kinase]		0.066308721	12-month-old	0.223865668	0.318175035
PF02706	[Chain length determinant protein]		0.195084444	12-month-old	0.223865668	0.318175035
COG0001	Glutamate-1-semialdehyde aminotransferase	Coenzyme metabolism	0.239757803	12-month-old	0.223865668	0.318175035
K02492	glutamyl-tRNA reductase [EC:1.2.1.70]	Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism	0.263573548	12-month-old	0.223865668	0.318175035
K00926	carbamate kinase [EC:2.7.2.2]	Metabolism; Energy metabolism; Nitrogen metabolism | Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Amino acid metabolism; Arginine biosynthesis	0.263702423	12-month-old	0.223865668	0.318175035
COG1527	Archaeal/vacuolar-type H+-ATPase subunit C	Energy production and conversion	0.307370125	12-month-old	0.223865668	0.318175035
K17074	putative lysine transport system permease protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.339984517	12-month-old	0.223865668	0.318175035
COG4214	"ABC-type xylose transport system, permease component"	Carbohydrate transport and metabolism	0.343566309	12-month-old	0.223865668	0.318175035
COG1403	Restriction endonuclease	"('{} (path not available)', 'COG1403')"	0.476588001	12-month-old	0.223865668	0.318175035
K01641	hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]	"Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Lipid metabolism; Synthesis and degradation of ketone bodies | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis"	0.533169033	12-month-old	0.223865668	0.318175035
ENOG410XP4A	domain protein	Function unknown	0.681127331	12-month-old	0.223865668	0.318175035
K00183	"prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit"	Not Included in Pathway or Brite; Unclassified: metabolism; Energy metabolism	0.763727021	12-month-old	0.223865668	0.318175035
COG3541	Predicted nucleotidyltransferase	General function prediction only	1.016726317	12-month-old	0.223865668	0.318175035
K19883	bifunctional aminoglycoside 6'-N-acetyltransferase / aminoglycoside 2''-phosphotransferase [EC:2.3.1.82 2.7.1.190]	Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	0.208224246	12-month-old	0.224015384	0.318281596
ENOG410XUGE	repeat protein	Function unknown	0.627836395	12-month-old	0.224306571	0.318642159
ENOG410Y3SX	Major Facilitator superfamily	Carbohydrate transport and metabolism	0.695890907	12-month-old	0.224361369	0.318693425
COG3338	Carbonic anhydrase	Inorganic ion transport and metabolism	0.458971448	12-month-old	0.22491199	0.319362978
K19046	CRISPR system Cascade subunit CasB	Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system	0.540672967	12-month-old	0.224926213	0.319362978
ENOG410ZJNA	ENOG410ZJNA (name not available)	ENOG410ZJNA (path not available)	0.607911958	12-month-old	0.224926479	0.319362978
ENOG410XQ03	tonB-dependent Receptor	Inorganic ion transport and metabolism	0.896849287	12-month-old	0.224926213	0.319362978
ENOG410YAI8		Function unknown	0.578997657	12-month-old	0.225010647	0.319455856
K08364	periplasmic mercuric ion binding protein	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.401121115	12-month-old	0.225238236	0.319672397
ENOG4111ZCV		Function unknown	0.80965564	12-month-old	0.225238236	0.319672397
PF10101	[Predicted membrane protein (DUF2339)]		0.860370293	12-month-old	0.225238236	0.319672397
ENOG410XSNQ		Function unknown	0.56665555	12-month-old	0.225967837	0.32062775
PF18862	[]		0.640580083	12-month-old	0.225934014	0.32062775
COG0520	Selenocysteine lyase	Amino acid transport and metabolism	0.052586965	12-month-old	0.227563173	0.322300748
COG1454	"Alcohol dehydrogenase, class IV"	Energy production and conversion	0.052884587	12-month-old	0.227563173	0.322300748
K01056	"peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]"	Brite Hierarchies; Protein families: genetic information processing; Translation factors	0.088790792	12-month-old	0.227563173	0.322300748
K13571	proteasome accessory factor A [EC:6.3.1.19]	Brite Hierarchies; Protein families: genetic information processing; Proteasome	0.091569908	12-month-old	0.227563173	0.322300748
K01586	diaminopimelate decarboxylase [EC:4.1.1.20]	Metabolism; Amino acid metabolism; Lysine biosynthesis	0.105037776	12-month-old	0.227563173	0.322300748
COG1129	"ABC-type sugar transport system, ATPase component"	Carbohydrate transport and metabolism	0.122966802	12-month-old	0.227563173	0.322300748
PF03547	[Membrane transport protein]		0.126961889	12-month-old	0.227563173	0.322300748
PF13493	[Domain of unknown function (DUF4118)]		0.321484996	12-month-old	0.227563173	0.322300748
ENOG410Y46N		Function unknown	0.353994837	12-month-old	0.227563173	0.322300748
COG3747	"Phage terminase, small subunit"	"DNA replication, recombination and repair"	0.847961164	12-month-old	0.227563173	0.322300748
